Index,Adresse,Postnummer,URL,Leiepris,Primærrom,Internt bruksareal (BRA-i),Bruksareal,Eksternt bruksareal (BRA-e),Balkong/Terrasse (TBA),#Bruttoareal,AREAL,PRIS KVM
0,Michel Nielsens Vei 2,871.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=97025965,15000,30.0,,,,,,30.0,500
1,Storgata 49 F,182.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405835734,17900,47.0,,,,,,47.0,380
2,Tråkka,774.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=259721281,13500,,34.0,,,,,34.0,397
3,Kastanjeveien 17B,487.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404816231,18000,40.0,,,,,,40.0,450
4,Urtegata 26,187.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=177480131,18500,56.0,,,,,,56.0,330
5,Falbes Gate 5,170.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=302909034,16750,,32.0,,,,,32.0,523
6,Lørenvangen 50,585.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=98018840,17000,40.0,,,,,,40.0,425
7,Kirkeveien (Bygg C) 166,450.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405456976,17900,,,32.0,,,,32.0,559
8,Grefsenveien 51,485.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=302417700,18000,33.0,,,,,33.0,33.0,545
9,Holmenkollveien 71D,784.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405752010,14500,,45.0,,,,,45.0,322
10,Sletteløkka 14 B,597.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=308558100,17500,51.0,,,,,,51.0,343
11,Maridalsveien 205,469.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406349263,16000,,33.0,,,,,33.0,484
12,1358 Jar,,https://www.finn.no/realestate/lettings/ad.html?finnkode=181354831,13900,33.0,,,,,,33.0,421
13,Rognerudveien 2G+H,681.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=89129622,14000,50.0,,,,,,50.0,280
14,Sinsenveien 35,585.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=111629678,18000,52.0,,,,,,52.0,346
15,Svenskerudveien  5E,680.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=177359942,13200,60.0,,,,,,60.0,220
16,Fernanda Nissens Gate 1D,484.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406184209,17900,40.0,,,,,,40.0,447
17,Th. Kittelsens Vei 26,377.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=292704889,13000,30.0,,,,,,30.0,433
18,Frysjaveien 40D,884.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405355098,18000,,60.0,,,,,60.0,300
19,Grønvoll Allé 68,661.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406220735,18500,,43.0,43.0,,,,43.0,430
20,Haakon Tveters Vei 5 B,682.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=114139187,14500,60.0,,,,,80.0,60.0,241
21,Fugleliveien 27 C,682.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406118497,18000,,68.0,68.0,,,68.0,68.0,264
22,Krafts Gate 1,169.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405171898,18000,55.0,,,,,,55.0,327
23,Strømsveien 1,657.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405784050,14000,38.0,,,,,48.0,38.0,368
24,Dicks Vei 6,1366.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406148011,13500,30.0,,,,,,30.0,450
25,Waldemar Thranes Gate 72,175.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404994630,16000,34.0,,,,,,34.0,470
26,Storgata 49 F,183.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405824681,14900,33.0,,,,,,33.0,451
27,President Harbitz Gate 21,259.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406347464,18000,,48.0,48.0,,,,48.0,375
28,Etterstadsletta 68,659.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=328084574,17500,62.0,,,,,,62.0,282
29,Nilserudkleiva 11,874.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=84022053,15000,58.0,,,,,,58.0,258
30,Hagegata 51,654.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406406689,16000,32.0,,,,,,32.0,500
31,Slyngveien 28 B,376.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=75357268,15000,56.0,,,,,,56.0,267
32,Elvefaret 55,751.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=76219320,13500,42.0,,42.0,,,,42.0,321
33,Nordlandsgata 11,483.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404397766,18000,45.0,,,,,,45.0,400
34,Borggata 12 C,650.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=153026517,17900,53.0,,,,,,53.0,337
35,Vækerøveien 205B,751.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405328955,16500,,63.0,,,,,63.0,261
