Index,Adresse,Postnummer,URL,Leiepris,Primærrom,Internt bruksareal (BRA-i),Bruksareal,Eksternt bruksareal (BRA-e),Balkong/Terrasse (TBA),#Bruttoareal
0,MICHEL NIELSENS VEI 2,0871,https://www.finn.no/realestate/lettings/ad.html?finnkode=97025965,15000,30,,,,,
1,STORGATA 49 F,0182,https://www.finn.no/realestate/lettings/ad.html?finnkode=405835734,17900,47,,,,,
2,Tråkka,0774,https://www.finn.no/realestate/lettings/ad.html?finnkode=259721281,13500,,34,,,,
3,Kastanjeveien 17B,0487,https://www.finn.no/realestate/lettings/ad.html?finnkode=404816231,18000,40,,,,,
4,URTEGATA 26,0187,https://www.finn.no/realestate/lettings/ad.html?finnkode=177480131,18500,56,,,,,
5,Falbes Gate 5,0170,https://www.finn.no/realestate/lettings/ad.html?finnkode=302909034,16750,,32,,,,
6,Lørenvangen 50,0585,https://www.finn.no/realestate/lettings/ad.html?finnkode=98018840,17000,40,,,,,
7,Kirkeveien (Bygg C) 166,0450,https://www.finn.no/realestate/lettings/ad.html?finnkode=405456976,17900,,,32,,,
8,Grefsenveien 51,0485,https://www.finn.no/realestate/lettings/ad.html?finnkode=302417700,18000,33,,,,,33
9,Holmenkollveien 71D,0784,https://www.finn.no/realestate/lettings/ad.html?finnkode=405752010,14500,,45,,,,
10,Sletteløkka 14 B,0597,https://www.finn.no/realestate/lettings/ad.html?finnkode=308558100,17500,51,,,,,
11,Maridalsveien 205,0469,https://www.finn.no/realestate/lettings/ad.html?finnkode=406349263,16000,,33,,,,
12,1358 Jar,,https://www.finn.no/realestate/lettings/ad.html?finnkode=181354831,13900,33,,,,,
13,Rognerudveien 2G+H,0681,https://www.finn.no/realestate/lettings/ad.html?finnkode=89129622,14000,50,,,,,
14,SINSENVEIEN 35,0585,https://www.finn.no/realestate/lettings/ad.html?finnkode=111629678,18000,52,,,,,
15,Svenskerudveien  5E,0680,https://www.finn.no/realestate/lettings/ad.html?finnkode=177359942,13200,60,,,,,
16,Fernanda Nissens Gate 1D,0484,https://www.finn.no/realestate/lettings/ad.html?finnkode=406184209,17900,40,,,,,
17,Th. Kittelsens vei 26,0377,https://www.finn.no/realestate/lettings/ad.html?finnkode=292704889,13000,30,,,,,
18,Frysjaveien 40D,0884,https://www.finn.no/realestate/lettings/ad.html?finnkode=405355098,18000,,60,,,,
19,Grønvoll allé 68,0661,https://www.finn.no/realestate/lettings/ad.html?finnkode=406220735,18500,,43,43,,,
20,HAAKON TVETERS VEI 5 B,0682,https://www.finn.no/realestate/lettings/ad.html?finnkode=114139187,14500,60,,,,,80
21,FUGLELIVEIEN 27 C,0682,https://www.finn.no/realestate/lettings/ad.html?finnkode=406118497,18000,,68,68,,,68
22,KRAFTS GATE 1,0169,https://www.finn.no/realestate/lettings/ad.html?finnkode=405171898,18000,55,,,,,
23,STRØMSVEIEN 1,0657,https://www.finn.no/realestate/lettings/ad.html?finnkode=405784050,14000,38,,,,,48
24,Dicks vei 6,1366,https://www.finn.no/realestate/lettings/ad.html?finnkode=406148011,13500,30,,,,,
25,Waldemar Thranes gate 72,0175,https://www.finn.no/realestate/lettings/ad.html?finnkode=404994630,16000,34,,,,,
26,Storgata 49 F,0183,https://www.finn.no/realestate/lettings/ad.html?finnkode=405824681,14900,33,,,,,
27,President Harbitz gate 21,0259,https://www.finn.no/realestate/lettings/ad.html?finnkode=406347464,18000,,48,48,,,
28,ETTERSTADSLETTA 68,0659,https://www.finn.no/realestate/lettings/ad.html?finnkode=328084574,17500,62,,,,,
29,NILSERUDKLEIVA 11,0874,https://www.finn.no/realestate/lettings/ad.html?finnkode=84022053,15000,58,,,,,
30,Hagegata 51,0654,https://www.finn.no/realestate/lettings/ad.html?finnkode=406406689,16000,32,,,,,
31,Slyngveien 28 B,0376,https://www.finn.no/realestate/lettings/ad.html?finnkode=75357268,15000,56,,,,,
32,ELVEFARET 55,0751,https://www.finn.no/realestate/lettings/ad.html?finnkode=76219320,13500,42,,42,,,
33,NORDLANDSGATA 11,0483,https://www.finn.no/realestate/lettings/ad.html?finnkode=404397766,18000,45,,,,,
34,BORGGATA 12 C,0650,https://www.finn.no/realestate/lettings/ad.html?finnkode=153026517,17900,53,,,,,
35,Vækerøveien 205B,0751,https://www.finn.no/realestate/lettings/ad.html?finnkode=405328955,16500,,63,,,,
36,Ugleveien 2,0853,https://www.finn.no/realestate/lettings/ad.html?finnkode=89316790,18000,36,,,,,110
37,Trosterudstien 8,0778,https://www.finn.no/realestate/lettings/ad.html?finnkode=344366999,14500,,32,,,,
38,Københavngata19b,0566,https://www.finn.no/realestate/lettings/ad.html?finnkode=405105144,16000,,32,32,,,32
39,Malerhaugveien 34 C,0661,https://www.finn.no/realestate/lettings/ad.html?finnkode=405437136,18500,,45,45,,,
40,SCHWENSENS GATE 5,0170,https://www.finn.no/realestate/lettings/ad.html?finnkode=405264063,15500,39,,,,,
41,0683 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=403577033,18000,65,,,,,
42,Øvre Smestadvei 19a,0378,https://www.finn.no/realestate/lettings/ad.html?finnkode=406428339,16500,48,,,,,
43,Venåsvegen 42,0672,https://www.finn.no/realestate/lettings/ad.html?finnkode=405779121,16900,,55,55,,,
44,Kapellveien 137A,0493,https://www.finn.no/realestate/lettings/ad.html?finnkode=96481508,16000,45,,,,,
45,Høyenhallveien 19B,0678,https://www.finn.no/realestate/lettings/ad.html?finnkode=353112313,17000,,45,,,,
46,Blåsbortveien 2A,0873,https://www.finn.no/realestate/lettings/ad.html?finnkode=101976853,15000,45,,,,,
47,Arnljot Gellines vei 37B,0657,https://www.finn.no/realestate/lettings/ad.html?finnkode=405441504,17000,35,,,,,
48,Seterhøyveien 18e,1176,https://www.finn.no/realestate/lettings/ad.html?finnkode=256895552,14400,43,,,,,
49,Peter Møllers vei 41,0585,https://www.finn.no/realestate/lettings/ad.html?finnkode=406394829,18500,,42,42,,,
50,Skedsmogata 24A,0655,https://www.finn.no/realestate/lettings/ad.html?finnkode=404611822,16900,40,,,,,
51,Myrveien 2a,1358,https://www.finn.no/realestate/lettings/ad.html?finnkode=188630930,15000,40,,,,,
