Totalpris,Adresse,Postnummer,Størrelse,URL
5290131,Høybråtenveien 23F,1055,115,https://www.finn.no/realestate/homes/ad.html?finnkode=377217491
5435776,Thorn Dønhaugs vei 100,1271,184,https://www.finn.no/realestate/homes/ad.html?finnkode=379469404
6356000,Mina Beiteplukksvei 19,1272,139,https://www.finn.no/realestate/homes/ad.html?finnkode=385589161
4617302,Lindebergveien 57B,1069,109,https://www.finn.no/realestate/homes/ad.html?finnkode=389228967
5379936,Vestlisvingen 98,0969,134,https://www.finn.no/realestate/homes/ad.html?finnkode=383557077
4624000,Kløfterhagen 5C,1067,102,https://www.finn.no/realestate/homes/ad.html?finnkode=378400072
5997250,Ellingsrudveien 19,1089,188,https://www.finn.no/realestate/homes/ad.html?finnkode=374751074
5954981,Sloreåsen 14,1257,102,https://www.finn.no/realestate/homes/ad.html?finnkode=381121058
6150650,Toppåsveien 53G,1262,191,https://www.finn.no/realestate/homes/ad.html?finnkode=389873226
4958981,Liakollveien 26B,1259,113,https://www.finn.no/realestate/homes/ad.html?finnkode=382518870
4986092,Maria Dehlis vei 34 A,1083,121,https://www.finn.no/realestate/homes/ad.html?finnkode=376079391
5202377,Ole Reistads vei 1B,1068,119,https://www.finn.no/realestate/homes/ad.html?finnkode=378224134
4995514,Trygve Strømbergs vei 26A,1263,111,https://www.finn.no/realestate/homes/ad.html?finnkode=349275344
4934252,Trygve Nilsens vei 48E,1061,105,https://www.finn.no/realestate/homes/ad.html?finnkode=390220961
4167396,Ragnhild Schibbyes vei 8,0968,98,https://www.finn.no/realestate/homes/ad.html?finnkode=390345250
4148714,Granstangen 30A,1051,130,https://www.finn.no/realestate/homes/ad.html?finnkode=389428658
6054562,Sloreåsen 18,1257,115,https://www.finn.no/realestate/homes/ad.html?finnkode=390360945
4474252,Ludvig Karstens vei 8,1064,110,https://www.finn.no/realestate/homes/ad.html?finnkode=390135924
4991840,Nybyggerveien 28A,1084,102,https://www.finn.no/realestate/homes/ad.html?finnkode=369730471
6248328,Munkebekken 154,1061,159,https://www.finn.no/realestate/homes/ad.html?finnkode=349792723
6358718,Lerdalsveien 32A,1263,110,https://www.finn.no/realestate/homes/ad.html?finnkode=365034375
5726240,Vestlisvingen 116,0969,135,https://www.finn.no/realestate/homes/ad.html?finnkode=359038458
4686192,Lindebergåsen 18B,1068,103,https://www.finn.no/realestate/homes/ad.html?finnkode=368045093
4192302,Granstangen 22B,1051,110,https://www.finn.no/realestate/homes/ad.html?finnkode=389267459
4755504,Inga Bjørnsons vei 127,0969,109,https://www.finn.no/realestate/homes/ad.html?finnkode=385656273
6114562,Sloreåsen 16B,1257,101,https://www.finn.no/realestate/homes/ad.html?finnkode=390530747
3853470,Åsbråtstien 34,1251,101,https://www.finn.no/realestate/homes/ad.html?finnkode=379497937
5559170,Sinsenveien 53,0585,48,https://www.finn.no/realestate/homes/ad.html?finnkode=390436722
5895100,Jordstjerneveien 53,1283,129,https://www.finn.no/realestate/homes/ad.html?finnkode=390463514
6439221,Trygve Nilsens vei 30G,1061,111,https://www.finn.no/realestate/homes/ad.html?finnkode=385814442
4651540,Ragnhild Schibbyes vei 52,0968,100,https://www.finn.no/realestate/homes/ad.html?finnkode=390091369
4223361,Åsbråtstien 49,1251,109,https://www.finn.no/realestate/homes/ad.html?finnkode=390226587
4673473,Lindebergåsen 34B,1068,127,https://www.finn.no/realestate/homes/ad.html?finnkode=390314293
5382490,Karl Flods vei 1B,0953,153,https://www.finn.no/realestate/homes/ad.html?finnkode=366142048
5741090,Berglyveien 26A,1262,130,https://www.finn.no/realestate/homes/ad.html?finnkode=388262347
5126240,Godliaveien 2C,0682,163,https://www.finn.no/realestate/homes/ad.html?finnkode=385748777
5965590,Toppåsveien 53B,1262,153,https://www.finn.no/realestate/homes/ad.html?finnkode=389514815
4833221,Ragnhild Schibbyes vei 14,0968,110,https://www.finn.no/realestate/homes/ad.html?finnkode=385410067
5751340,Kruttverkveien 30B,1168,113,https://www.finn.no/realestate/homes/ad.html?finnkode=365929278
5350981,Starveien 14A,1088,96,https://www.finn.no/realestate/homes/ad.html?finnkode=371436180
5823212,Gråbrødreveien 10C,0377,130,https://www.finn.no/realestate/homes/ad.html?finnkode=386390592
6158870,Trolldalsveien 22,0672,185,https://www.finn.no/realestate/homes/ad.html?finnkode=301832024
5497104,Johnny Svorkmos vei 246,0983,126,https://www.finn.no/realestate/homes/ad.html?finnkode=389603127
5348202,Høybråtenveien 17B,1055,110,https://www.finn.no/realestate/homes/ad.html?finnkode=389476374
4547302,Gransdalen 23B,1054,111,https://www.finn.no/realestate/homes/ad.html?finnkode=390309418
6347789,Sofies gate 14B,0170,96,https://www.finn.no/realestate/homes/ad.html?finnkode=383040292
4758098,Ragnhild Schibbyes vei 33,0968,115,https://www.finn.no/realestate/homes/ad.html?finnkode=390504470
6470650,Ole Messelts vei 5,0676,96,https://www.finn.no/realestate/homes/ad.html?finnkode=389601187
6301090,Gamle Bygdevei 42,1284,119,https://www.finn.no/realestate/homes/ad.html?finnkode=388372324
3505721,Høgåsveien 58,1259,102,https://www.finn.no/realestate/homes/ad.html?finnkode=388996686
4937487,Bjørndalsjordet 50,1270,97,https://www.finn.no/realestate/homes/ad.html?finnkode=384344358
6206028,Etterstadgata 22,0658,81,https://www.finn.no/realestate/homes/ad.html?finnkode=389140423
6069452,Marmorveien 7,1154,83,https://www.finn.no/realestate/homes/ad.html?finnkode=387859970
3802136,Granbergstubben 148,1275,84,https://www.finn.no/realestate/homes/ad.html?finnkode=389532605
4981350,Veitvetveien 30,0596,88,https://www.finn.no/realestate/homes/ad.html?finnkode=390355149
4647825,Vestlisvingen 80,0969,92,https://www.finn.no/realestate/homes/ad.html?finnkode=378256981
4475309,Lindebergåsen 23C,1071,114,https://www.finn.no/realestate/homes/ad.html?finnkode=382416563
4244807,Asperudtoppen 67,1258,89,https://www.finn.no/realestate/homes/ad.html?finnkode=387808651
4029589,Micheletveien 38K,1053,96,https://www.finn.no/realestate/homes/ad.html?finnkode=389225940
5977862,Sloreåsen 12B,1257,94,https://www.finn.no/realestate/homes/ad.html?finnkode=390335857
4580845,Elgtråkket 12H,1270,95,https://www.finn.no/realestate/homes/ad.html?finnkode=365532879
5956040,Skullerudveien 93,1188,97,https://www.finn.no/realestate/homes/ad.html?finnkode=389759760
